Name,Website,CareersPage
"KEB Automation","http://www.keb-automation.com","https://www.keb-automation.com/de/karriere/offene-stellen"
"LPKF Laser & Electronics SE","http://www.lpkf.com","https://www.lpkf.com/karriere/"
"Clyde Bergemann Power Group","http://www.cbpg.com",""
"BST GmbH","http://www.bst.group","https://www.elexis.group/en/career/our-job-offers#c95884"
"Böttcher Deutschland","http://www.boettcher.de","https://boettcher.onapply.de/"
"Winergy","http://www.winergy-group.com","https://flender.wd3.myworkdayjobs.com/de-DE/Flender_Global"
"HAIMER","http://www.haimer.com","https://www.haimer.com/de/karriere/stellenportal"
"THE SENNEBOOK","http://www.sennebogen.com","https://www.sennebogen.com/karriere/stellenangebote"
"LMT Tools","http://www.lmt-tools.com","https://www.lmt-tools.com/en/vacancies"
"SAUERESSIG Group","http://www.saueressig.com","https://www.saueressig.com/engineering/stellenangebote-bei-saueressig-engineering/"
"BizLink Factory Automation & Machinery","http://www.bizlinktech.com","https://www.bizlinktech.com/careers"
"Gebr. Pfeiffer","http://www.gebr-pfeiffer.com",""
"Inovance Technology Europe","http://www.inovance.eu",""
"SEEPEX","http://www.seepex.com",""
"Herrmann Ultraschall","http://www.herrmannultraschall.com","https://www.herrmannultraschall.com/en/company/career/jobs"
"centrotherm international AG","http://www.centrotherm.de","https://www.centrotherm.de/de/karriere/offene-stellen"
"ALD Vacuum Technologies GmbH","http://www.ald-vt.com","https://ald-portal.rexx-recruitment.com/stellenangebote.html"
"Zeppelin Power Systems GmbH","http://www.zeppelin-powersystems.com","https://zeppelin.wd3.myworkdayjobs.com/de-DE/careers?hiringCompany=a3ea14ce5cdc016ba70f9a51ae00b108"
"FIIMM","http://www.fiimm.de",""
"WALTER EWAG","http://www.walter-machines.com","https://www.walter-machines.com/de/karriere/stellenangebote/"
"RENA Technologies GmbH","http://www.rena.com","https://karriere.rena.com/HPv3.jobs/rena-technologies/stellenangebote"
"Hosokawa Alpine Aktiengesellschaft","http://www.hosokawa-alpine.com","https://career.hosokawa-alpine.com/job-offers.html"
"FELSOMAT GmbH & Co. KG","http://www.felsomat.de","https://www.felsomat.de/karriere/berufserfahrene"
"KTR Systems GmbH","http://www.ktr.com","https://www.ktr.com/de/de/karriere/"
"Erhardt+Leimer GmbH","http://www.erhardt-leimer.com","https://www.erhardt-leimer.com/global/en/company/careers-at-erhardt-leimer.html"
"Rösler","http://www.rosler.com","https://www.rosler.com/de/produkte/solution-finder"
"SCANLAB GmbH","http://www.scanlab.de","https://www.scanlab.de/de/karriere/unsere-stellenangebote"
"J. Wagner GmbH","http://www.wagner-group.com","https://careers.wagner-group.com/go/Alle-Jobs/3843301/"
"KAPP NILES","http://www.kapp-niles.com","https://www.kapp-niles.com/de/stellenangebote"
"MIAS","http://www.mias-group.com","https://mias-group.com/de/karriere/stellenangebote/"
"Rovema GmbH","http://www.rovema.com","https://www.rovema.com/karriere/stellenanzeigen/"
"Aumann Group","http://www.aumann.com","https://www.aumann.com/karriere/offene-stellen"
"MSK Covertech Group","http://www.mskcovertech.com","https://www.mskcovertech.com/career/apply-now/"
"Hennecke GROUP","http://www.hennecke.com","https://www.hennecke.com/de/company/career/overview"
"Brückner Maschinenbau","http://www.brueckner-maschinenbau.com","https://jobs.brueckner-group.com/brueckner-maschinenbau/go/Stellenmarkt-Br%C3%BCckner-Maschinenbau/5489401/"
"SEW-EURODRIVE India Private Limited","http://www.seweurodriveindia.com",""
"TOPTICA Photonics","http://www.toptica.com","https://www.toptica.com/careers/careers-at-toptica"
"Paul Horn GmbH","http://www.horn-group.com","https://www.horn-group.com/de/karriere"
"MVTec Software GmbH","http://www.mvtec.com","https://www.mvtec.com/company/jobs/mvtec-job-portal"
"Manroland Sheetfed","http://www.manrolandsheetfed.com","https://www.manrolandsheetfed.com/careers/"
"SAACKE GmbH","http://www.saacke.com","https://www.saacke.com/career"
"Sesotec","http://www.sesotec.com","https://jobs.sesotec.com/search/?createNewAlert=false&q=&optionsFacetsDD_location=&optionsFacetsDD_shifttype=&optionsFacetsDD_department=&locale=de_DE"
"Zeppelin Systems GmbH","http://www.zeppelin-systems.com","https://www.zeppelin.com/de/en/career/"
"EWM GmbH","http://www.ewm-group.com","https://www.ewm-group.com/de/karriere/karriere-bei-ewm.html"
"AMANDUS KAHL","http://www.akahl.com","https://www.akahl.com/de/karriere/wir-als-arbeitgeber/"
"Manz AG","http://www.manz.com",""
"JUMO Headquarters","http://www.jumo.de","https://www.jumo.de/web/career/lbd-day/intro-text"
"SpiraTec AG","http://www.spiratec.com","https://jobs.spiratec.com/de/"
"PVA TePla AG","http://www.pvatepla.com","https://karriere.pvatepla.com/?utm_source=homepage&utm_medium=website&utm_campaign=karriere"
"PROBAT","http://www.probat.com","https://www.probat.com/careers/"
"ASYS Group","http://www.asys-group.com","https://karriere.asys-group.com/jobposting/26e1a238dd376ec3dbad8c36deccfdbfbc7d64fe0?ref=homepage"
"groninger & co. gmbh","http://www.groninger-group.com","https://www.groninger-group.com/de/unternehmen/karriere/stellenangebote/"
"ProLeiT","http://www.proleit.com",""
"Allgaier-Group","http://www.allgaier-group.com",""
"Excelitas Noblelight","http://www.noblelight.com",""
"Kampf GmbH","http://www.kampf.de","https://www.kampf.de/career/find-job-vacancies/"
"Boll & Kirch Filterbau GmbH / BOLLFILTER","http://www.bollfilter.com","https://www.bollfilter.com/company/career"
"NEURA Robotics","http://www.neura-robotics.com","https://jobs.neura-robotics.com/"
"Agile Robots SE","http://www.agile-robots.com","https://www.agile-robots.com/en/careers"
"Bosch Manufacturing Solutions | BMG","http://www.boschmanufacturingsolutions.com","https://jobs.bosch.de/"
"GHH Fahrzeuge GmbH","http://www.ghhrocks.com","https://ghhrocks.com/careers/"
"Tesla Automation GmbH","http://www.teslaautomation.de","https://www.teslaautomation.de/de/recruitment"
"Hako","http://www.hako.com","https://www.hako.com/unternehmen/karriere/stellenangebote"
"Tadano Europe","http://www.tadano.com",""
"MINDA","http://www.minda.com","https://www.minda.com/de/karriere/jobportal"
"OptoTech","http://www.optotech.net","https://www.optotech.net/en/company/career"
"Stadler + Schaaf Mess- und Regeltechnik GmbH","http://www.stadler-schaaf.de","https://jobs.stadler-schaaf.de/"
"Testo Industrial Services DE","http://www.testotis.de","https://www.testotis.de/karriere-ausbildung/stellenangebote"
"Aqseptence Group","http://www.aqseptence.com","https://aqseptence.softgarden.io/en/vacancies"
"Mosca GmbH","http://www.mosca.com","https://www.mosca.com/Karriere/Jobs"
"WEINIG Group","http://www.weinig.com","https://www.weinig.com/en/weinig-group/current-job-offers.html"
"MonsterFans HVLS","http://www.monsterfans.com",""
"Kurtz Ersa","http://www.kurtzersa.com","https://kurtzersa.com/career/vacancies"
"pester pac automation GmbH","http://www.pester.com","https://www.pester.com/de/karriere/karriere/jobsuche/#stellenangebote"
"EBARA Precision Machinery Europe (EPME)","http://www.ebara-pm.eu","https://jobs-ebara-pm.career.softgarden.de/"
"Wipotec","http://www.wipotec.com","https://www.wipotec.com/de/karriere/international-jobs#c103760"
"Schmersal Group","http://www.schmersal.com","https://schmersal.onlyfy.jobs/"
"Walterscheid","http://www.walterscheid-group.com",""
"TOPWERK GROUP","http://www.topwerk.com","https://www.topwerk.com/karriere/stellenanzeigen"
"technotrans","http://www.technotrans.com","https://www.technotrans.com/career/overview"
"FRIMO Innovative Technologies GmbH","http://www.frimo.com","https://karriere.frimo.com/de/national-stellenangebote"
"TRACTO","http://www.tracto.com","https://career.tracto.com/de#jobs"
"Max Iron GmbH","http://www.max-iron.com",""
"Lödige Industries","http://www.lodige.com","https://www.lodige.com/en-global/company/about-us/career/jobs/"
"NEUMAN & ESSER (NEA GROUP)","http://www.neuman-esser.com","https://www.neuman-esser.com/karriere/jobboerse/"
"Pilz","http://www.pilz.com",""
"YASKAWA Europe","http://www.yaskawa.eu.com","https://career.yaskawa.eu.com/job-offers.html"
"ABICOR BINZEL","http://www.binzel-abicor.com","https://www.photonic-tools.de/de/photonic-tools/karriere/stellenangebote/"
"KHD Humboldt Wedag","http://www.khd.com","https://www.khd.com/career/"
"ISRA VISION","http://www.isravision.com","https://www.atlascopcogroup.com/en/careers/jobs/job-overview?GROUP_EN_dateDesc%5BrefinementList%5D%5Bdata.brand%5D%5B0%5D=ISRA%20Vision"
"KARL MAYER","http://www.karlmayer.com","https://www.karlmayergroup.com/de/karriere/jobs-stellenangebote/"
"BHS Corrugated Maschinen- und Anlagen GmbH","http://www.bhs-world.com","https://www.bhs-world.com/karriere/stellenangebote"
"thyssenkrupp nucera","http://www.thyssenkrupp-nucera.com","https://new-era-is-you.com/jobs/"
"Metabo","http://www.metabo.com","https://www.metabo.com/de/de/unternehmen/karriere"
"#HandsOnMetrology","http://www.handsonmetrology.com",""
"Flottweg","http://www.flottweg.com","https://www.flottweg.com/de/karriere/jobs/"
"GRIMME","http://www.grimme.com","https://group.grimme.com/de/career"
"IMA Schelling Group","http://www.imaschelling.com","https://jobs.imaschelling.com/jobs"
"ROMACO GROUP","http://www.romaco.com","https://www.romaco.com/career"
"Nikon SLM Solutions","http://www.nikon-slm-solutions.com","https://hr.slm-solutions.com/"
"weisstechnik","http://www.weiss-technik.com","https://www.weiss-technik.com/de/karriere/offene-stellen/de?company=189"
"Bausch+Ströbel","http://www.bausch-stroebel.com","https://karriere.bausch-stroebel.com/de/stellenangebote"
"GEMÜ Group","http://www.gemu-group.com","https://www.gemu-group.com/de_DE/karriere/offene-stellen/"
"thyssenkrupp rothe erde","http://www.thyssenkrupp-rotheerde.com","https://www.thyssenkrupp-rotheerde.com/en/career/prospective-application"
"IKA – Laboratory,Analytical and Process Technology","http://www.ika.com",""
"Minebea Intec","http://www.minebea-intec.com","https://www.minebea-intec.com/en/about-us/career#c32345"
"Rieckermann","http://www.rieckermann.com","https://rieckermann.com/en/career/contact-hr/"
"TOX® Germany","http://www.tox-de.com",""
"WITTENSTEIN group","http://www.wittenstein.de","https://www.wittenstein.de/de-de/unternehmen/karriere/stellenangebote/"
"Kieback&Peter","http://www.kieback-peter.com","https://www.kieback-peter.com/de/karriere/stellenangebote/"
"WEISS Group","http://www.weiss-world.com","https://www.facebook.com/karrierebeiweiss/"
"SBS Ecoclean Group","http://www.ecoclean-group.net","https://careers.ecoclean-group.net/jobs"
"Fendt","http://www.fendt.com","https://www.fendt.com/de/karriere/fendt-als-arbeitgeber"
"VDMA","http://www.vdma.org","https://www.vdma.org/karriere"
"Weber Food Technology","http://www.weberweb.com","https://career.weberweb.com/jobs-und-bewerbung/jobboerse/"
"INDEX","http://www.index-group.com","https://www.index-group.com/de/unternehmen/jobs-karriere/stellenangebote"
"Uhlmann Pac-Systeme","http://www.uhlmann.de",""
"Schindler Deutschland","http://www.schindler.de","https://job.schindler.com/search/?createNewAlert=false&q=&optionsFacetsDD_country=DE&locationsearch="
"ARBURG GmbH + Co KG","http://www.arburg.com","https://www.arburg.com/de/karriere/"
